M,N,K
253, 37984, 6144
2001, 3584, 6144
2001, 6144, 3072
2001, 160, 6144
1178, 3584, 6144
1178, 6144, 3072
1178, 160, 6144
1148, 3584, 6144
1148, 6144, 3072
1148, 160, 6144
1205, 3584, 6144
1205, 6144, 3072
1205, 160, 6144
1119, 3584, 6144
1119, 6144, 3072
1119, 160, 6144
1230, 3584, 6144
1230, 6144, 3072
1230, 160, 6144
2097, 3584, 6144
2097, 6144, 3072
2097, 160, 6144
1102, 3584, 6144
1102, 6144, 3072
1102, 160, 6144
1215, 3584, 6144
1215, 6144, 3072
1215, 160, 6144
1188, 3584, 6144
1188, 6144, 3072
1188, 160, 6144
1218, 3584, 6144
1218, 6144, 3072
1218, 160, 6144
1996, 3584, 6144
1996, 6144, 3072
1996, 160, 6144
1101, 3584, 6144
1101, 6144, 3072
1101, 160, 6144
1142, 3584, 6144
1142, 6144, 3072
1142, 160, 6144
1207, 3584, 6144
1207, 6144, 3072
1207, 160, 6144
2084, 3584, 6144
2084, 6144, 3072
2084, 160, 6144
1133, 3584, 6144
1133, 6144, 3072
1133, 160, 6144
2005, 3584, 6144
2005, 6144, 3072
2005, 160, 6144
2128, 3584, 6144
2128, 6144, 3072
2128, 160, 6144
1116, 3584, 6144
1116, 6144, 3072
1116, 160, 6144
1186, 3584, 6144
1186, 6144, 3072
1186, 160, 6144
1963, 3584, 6144
1963, 6144, 3072
1963, 160, 6144
1087, 3584, 6144
1087, 6144, 3072
1087, 160, 6144
2080, 3584, 6144
2080, 6144, 3072
2080, 160, 6144
1147, 3584, 6144
1147, 6144, 3072
1147, 160, 6144
252, 37984, 6144
2836, 3584, 6144
2836, 6144, 3072
2836, 160, 6144
2034, 3584, 6144
2034, 6144, 3072
2034, 160, 6144
1151, 3584, 6144
1151, 6144, 3072
1151, 160, 6144
2010, 3584, 6144
2010, 6144, 3072
2010, 160, 6144
2026, 3584, 6144
2026, 6144, 3072
2026, 160, 6144
1109, 3584, 6144
1109, 6144, 3072
1109, 160, 6144
1095, 3584, 6144
1095, 6144, 3072
1095, 160, 6144
2028, 3584, 6144
2028, 6144, 3072
2028, 160, 6144
2063, 3584, 6144
2063, 6144, 3072
2063, 160, 6144
1189, 3584, 6144
1189, 6144, 3072
1189, 160, 6144
1090, 3584, 6144
1090, 6144, 3072
1090, 160, 6144
2029, 3584, 6144
2029, 6144, 3072
2029, 160, 6144
1995, 3584, 6144
1995, 6144, 3072
1995, 160, 6144
1172, 3584, 6144
1172, 6144, 3072
1172, 160, 6144
3064, 3584, 6144
3064, 6144, 3072
3064, 160, 6144
1118, 3584, 6144
1118, 6144, 3072
1118, 160, 6144
2852, 3584, 6144
2852, 6144, 3072
2852, 160, 6144
1135, 3584, 6144
1135, 6144, 3072
1135, 160, 6144
1160, 3584, 6144
1160, 6144, 3072
1160, 160, 6144
1182, 3584, 6144
1182, 6144, 3072
1182, 160, 6144
1170, 3584, 6144
1170, 6144, 3072
1170, 160, 6144
1941, 3584, 6144
1941, 6144, 3072
1941, 160, 6144
1222, 3584, 6144
1222, 6144, 3072
1222, 160, 6144
1117, 3584, 6144
1117, 6144, 3072
1117, 160, 6144
2796, 3584, 6144
2796, 6144, 3072
2796, 160, 6144
1128, 3584, 6144
1128, 6144, 3072
1128, 160, 6144
2057, 3584, 6144
2057, 6144, 3072
2057, 160, 6144
251, 37984, 6144
3948, 3584, 6144
3948, 6144, 3072
3948, 160, 6144
1153, 3584, 6144
1153, 6144, 3072
1153, 160, 6144
1159, 3584, 6144
1159, 6144, 3072
1159, 160, 6144
2021, 3584, 6144
2021, 6144, 3072
2021, 160, 6144
1981, 3584, 6144
1981, 6144, 3072
1981, 160, 6144
1166, 3584, 6144
1166, 6144, 3072
1166, 160, 6144
2044, 3584, 6144
2044, 6144, 3072
2044, 160, 6144
1141, 3584, 6144
1141, 6144, 3072
1141, 160, 6144
1177, 3584, 6144
1177, 6144, 3072
1177, 160, 6144
1184, 3584, 6144
1184, 6144, 3072
1184, 160, 6144
1076, 3584, 6144
1076, 6144, 3072
1076, 160, 6144
2083, 3584, 6144
2083, 6144, 3072
2083, 160, 6144
1986, 3584, 6144
1986, 6144, 3072
1986, 160, 6144
2002, 3584, 6144
2002, 6144, 3072
2002, 160, 6144
1921, 3584, 6144
1921, 6144, 3072
1921, 160, 6144
1080, 3584, 6144
1080, 6144, 3072
1080, 160, 6144
1234, 3584, 6144
1234, 6144, 3072
1234, 160, 6144
1143, 3584, 6144
1143, 6144, 3072
1143, 160, 6144
1073, 3584, 6144
1073, 6144, 3072
1073, 160, 6144
1139, 3584, 6144
1139, 6144, 3072
1139, 160, 6144
1112, 3584, 6144
1112, 6144, 3072
1112, 160, 6144
1194, 3584, 6144
1194, 6144, 3072
1194, 160, 6144
2182, 3584, 6144
2182, 6144, 3072
2182, 160, 6144
1195, 3584, 6144
1195, 6144, 3072
1195, 160, 6144
1121, 3584, 6144
1121, 6144, 3072
1121, 160, 6144
1097, 3584, 6144
1097, 6144, 3072
1097, 160, 6144
2108, 3584, 6144
2108, 6144, 3072
2108, 160, 6144
1062, 3584, 6144
1062, 6144, 3072
1062, 160, 6144
2045, 3584, 6144
2045, 6144, 3072
2045, 160, 6144
1111, 3584, 6144
1111, 6144, 3072
1111, 160, 6144
1081, 3584, 6144
1081, 6144, 3072
1081, 160, 6144
1191, 3584, 6144
1191, 6144, 3072
1191, 160, 6144
3009, 3584, 6144
3009, 6144, 3072
3009, 160, 6144
2106, 3584, 6144
2106, 6144, 3072
2106, 160, 6144
2133, 3584, 6144
2133, 6144, 3072
2133, 160, 6144
2186, 3584, 6144
2186, 6144, 3072
2186, 160, 6144
1183, 3584, 6144
1183, 6144, 3072
1183, 160, 6144
1146, 3584, 6144
1146, 6144, 3072
1146, 160, 6144
2101, 3584, 6144
2101, 6144, 3072
2101, 160, 6144
1127, 3584, 6144
1127, 6144, 3072
1127, 160, 6144
2938, 3584, 6144
2938, 6144, 3072
2938, 160, 6144
2019, 3584, 6144
2019, 6144, 3072
2019, 160, 6144
2087, 3584, 6144
2087, 6144, 3072
2087, 160, 6144
250, 37984, 6144
2871, 3584, 6144
2871, 6144, 3072
2871, 160, 6144
2996, 3584, 6144
2996, 6144, 3072
2996, 160, 6144
2065, 3584, 6144
2065, 6144, 3072
2065, 160, 6144
1962, 3584, 6144
1962, 6144, 3072
1962, 160, 6144
2042, 3584, 6144
2042, 6144, 3072
2042, 160, 6144
2082, 3584, 6144
2082, 6144, 3072
2082, 160, 6144
1131, 3584, 6144
1131, 6144, 3072
1131, 160, 6144
1164, 3584, 6144
1164, 6144, 3072
1164, 160, 6144
3763, 3584, 6144
3763, 6144, 3072
3763, 160, 6144
1104, 3584, 6144
1104, 6144, 3072
1104, 160, 6144
2022, 3584, 6144
2022, 6144, 3072
2022, 160, 6144
2188, 3584, 6144
2188, 6144, 3072
2188, 160, 6144
1110, 3584, 6144
1110, 6144, 3072
1110, 160, 6144
1210, 3584, 6144
1210, 6144, 3072
1210, 160, 6144
1176, 3584, 6144
1176, 6144, 3072
1176, 160, 6144
1196, 3584, 6144
1196, 6144, 3072
1196, 160, 6144
1229, 3584, 6144
1229, 6144, 3072
1229, 160, 6144
1149, 3584, 6144
1149, 6144, 3072
1149, 160, 6144
1982, 3584, 6144
1982, 6144, 3072
1982, 160, 6144
2168, 3584, 6144
2168, 6144, 3072
2168, 160, 6144
3735, 3584, 6144
3735, 6144, 3072
3735, 160, 6144
1150, 3584, 6144
1150, 6144, 3072
1150, 160, 6144
1175, 3584, 6144
1175, 6144, 3072
1175, 160, 6144
1154, 3584, 6144
1154, 6144, 3072
1154, 160, 6144
1208, 3584, 6144
1208, 6144, 3072
1208, 160, 6144
1942, 3584, 6144
1942, 6144, 3072
1942, 160, 6144
1914, 3584, 6144
1914, 6144, 3072
1914, 160, 6144
1219, 3584, 6144
1219, 6144, 3072
1219, 160, 6144
1198, 3584, 6144
1198, 6144, 3072
1198, 160, 6144
1088, 3584, 6144
1088, 6144, 3072
1088, 160, 6144
1055, 3584, 6144
1055, 6144, 3072
1055, 160, 6144
1179, 3584, 6144
1179, 6144, 3072
1179, 160, 6144
1167, 3584, 6144
1167, 6144, 3072
1167, 160, 6144
1240, 3584, 6144
1240, 6144, 3072
1240, 160, 6144
1070, 3584, 6144
1070, 6144, 3072
1070, 160, 6144
2169, 3584, 6144
2169, 6144, 3072
2169, 160, 6144
1197, 3584, 6144
1197, 6144, 3072
1197, 160, 6144
1174, 3584, 6144
1174, 6144, 3072
1174, 160, 6144
1155, 3584, 6144
1155, 6144, 3072
1155, 160, 6144
1956, 3584, 6144
1956, 6144, 3072
1956, 160, 6144
1140, 3584, 6144
1140, 6144, 3072
1140, 160, 6144
1145, 3584, 6144
1145, 6144, 3072
1145, 160, 6144
1243, 3584, 6144
1243, 6144, 3072
1243, 160, 6144
1203, 3584, 6144
1203, 6144, 3072
1203, 160, 6144
1247, 3584, 6144
1247, 6144, 3072
1247, 160, 6144
1105, 3584, 6144
1105, 6144, 3072
1105, 160, 6144
1202, 3584, 6144
1202, 6144, 3072
1202, 160, 6144
1227, 3584, 6144
1227, 6144, 3072
1227, 160, 6144
1192, 3584, 6144
1192, 6144, 3072
1192, 160, 6144
2144, 3584, 6144
2144, 6144, 3072
2144, 160, 6144
2129, 3584, 6144
2129, 6144, 3072
2129, 160, 6144
1082, 3584, 6144
1082, 6144, 3072
1082, 160, 6144
1156, 3584, 6144
1156, 6144, 3072
1156, 160, 6144
1231, 3584, 6144
1231, 6144, 3072
1231, 160, 6144
1225, 3584, 6144
1225, 6144, 3072
1225, 160, 6144
2079, 3584, 6144
2079, 6144, 3072
2079, 160, 6144
1108, 3584, 6144
1108, 6144, 3072
1108, 160, 6144
1054, 3584, 6144
1054, 6144, 3072
1054, 160, 6144
1161, 3584, 6144
1161, 6144, 3072
1161, 160, 6144
1213, 3584, 6144
1213, 6144, 3072
1213, 160, 6144
1211, 3584, 6144
1211, 6144, 3072
1211, 160, 6144
2017, 3584, 6144
2017, 6144, 3072
2017, 160, 6144
1083, 3584, 6144
1083, 6144, 3072
1083, 160, 6144
1069, 3584, 6144
1069, 6144, 3072
1069, 160, 6144
1968, 3584, 6144
1968, 6144, 3072
1968, 160, 6144
1074, 3584, 6144
1074, 6144, 3072
1074, 160, 6144
2047, 3584, 6144
2047, 6144, 3072
2047, 160, 6144
1092, 3584, 6144
1092, 6144, 3072
1092, 160, 6144
2075, 3584, 6144
2075, 6144, 3072
2075, 160, 6144
2037, 3584, 6144
2037, 6144, 3072
2037, 160, 6144
1997, 3584, 6144
1997, 6144, 3072
1997, 160, 6144
1991, 3584, 6144
1991, 6144, 3072
1991, 160, 6144
1066, 3584, 6144
1066, 6144, 3072
1066, 160, 6144
2040, 3584, 6144
2040, 6144, 3072
2040, 160, 6144
1071, 3584, 6144
1071, 6144, 3072
1071, 160, 6144
3885, 3584, 6144
3885, 6144, 3072
3885, 160, 6144
1126, 3584, 6144
1126, 6144, 3072
1126, 160, 6144
1137, 3584, 6144
1137, 6144, 3072
1137, 160, 6144
3782, 3584, 6144
3782, 6144, 3072
3782, 160, 6144
1228, 3584, 6144
1228, 6144, 3072
1228, 160, 6144
2102, 3584, 6144
2102, 6144, 3072
2102, 160, 6144
1214, 3584, 6144
1214, 6144, 3072
1214, 160, 6144
2111, 3584, 6144
2111, 6144, 3072
2111, 160, 6144
1171, 3584, 6144
1171, 6144, 3072
1171, 160, 6144
1242, 3584, 6144
1242, 6144, 3072
1242, 160, 6144
2076, 3584, 6144
2076, 6144, 3072
2076, 160, 6144
1093, 3584, 6144
1093, 6144, 3072
1093, 160, 6144
1249, 3584, 6144
1249, 6144, 3072
1249, 160, 6144
2110, 3584, 6144
2110, 6144, 3072
2110, 160, 6144
2220, 3584, 6144
2220, 6144, 3072
2220, 160, 6144
1199, 3584, 6144
1199, 6144, 3072
1199, 160, 6144
1193, 3584, 6144
1193, 6144, 3072
1193, 160, 6144
1200, 3584, 6144
1200, 6144, 3072
1200, 160, 6144
1169, 3584, 6144
1169, 6144, 3072
1169, 160, 6144
1094, 3584, 6144
1094, 6144, 3072
1094, 160, 6144
2994, 3584, 6144
2994, 6144, 3072
2994, 160, 6144
3015, 3584, 6144
3015, 6144, 3072
3015, 160, 6144
2105, 3584, 6144
2105, 6144, 3072
2105, 160, 6144
2039, 3584, 6144
2039, 6144, 3072
2039, 160, 6144
2955, 3584, 6144
2955, 6144, 3072
2955, 160, 6144
2070, 3584, 6144
2070, 6144, 3072
2070, 160, 6144
1099, 3584, 6144
1099, 6144, 3072
1099, 160, 6144
1078, 3584, 6144
1078, 6144, 3072
1078, 160, 6144
2089, 3584, 6144
2089, 6144, 3072
2089, 160, 6144
1106, 3584, 6144
1106, 6144, 3072
1106, 160, 6144
1130, 3584, 6144
1130, 6144, 3072
1130, 160, 6144
2099, 3584, 6144
2099, 6144, 3072
2099, 160, 6144
1939, 3584, 6144
1939, 6144, 3072
1939, 160, 6144
1132, 3584, 6144
1132, 6144, 3072
1132, 160, 6144
1129, 3584, 6144
1129, 6144, 3072
1129, 160, 6144
1248, 3584, 6144
1248, 6144, 3072
1248, 160, 6144
1994, 3584, 6144
1994, 6144, 3072
1994, 160, 6144
2043, 3584, 6144
2043, 6144, 3072
2043, 160, 6144
2033, 3584, 6144
2033, 6144, 3072
2033, 160, 6144
2109, 3584, 6144
2109, 6144, 3072
2109, 160, 6144
1122, 3584, 6144
1122, 6144, 3072
1122, 160, 6144
1100, 3584, 6144
1100, 6144, 3072
1100, 160, 6144
1113, 3584, 6144
1113, 6144, 3072
1113, 160, 6144
2027, 3584, 6144
2027, 6144, 3072
2027, 160, 6144
1136, 3584, 6144
1136, 6144, 3072
1136, 160, 6144
2870, 3584, 6144
2870, 6144, 3072
2870, 160, 6144
1998, 3584, 6144
1998, 6144, 3072
1998, 160, 6144
1232, 3584, 6144
1232, 6144, 3072
1232, 160, 6144
2000, 3584, 6144
2000, 6144, 3072
2000, 160, 6144
1992, 3584, 6144
1992, 6144, 3072
1992, 160, 6144
3019, 3584, 6144
3019, 6144, 3072
3019, 160, 6144
3065, 3584, 6144
3065, 6144, 3072
3065, 160, 6144
1966, 3584, 6144
1966, 6144, 3072
1966, 160, 6144
1168, 3584, 6144
1168, 6144, 3072
1168, 160, 6144
2064, 3584, 6144
2064, 6144, 3072
2064, 160, 6144
1125, 3584, 6144
1125, 6144, 3072
1125, 160, 6144
2149, 3584, 6144
2149, 6144, 3072
2149, 160, 6144
2054, 3584, 6144
2054, 6144, 3072
2054, 160, 6144
1084, 3584, 6144
1084, 6144, 3072
1084, 160, 6144
1075, 3584, 6144
1075, 6144, 3072
1075, 160, 6144
1185, 3584, 6144
1185, 6144, 3072
1185, 160, 6144
1124, 3584, 6144
1124, 6144, 3072
1124, 160, 6144
249, 37984, 6144
248, 37984, 6144
247, 37984, 6144
246, 37984, 6144
245, 37984, 6144
244, 37984, 6144
243, 37984, 6144
242, 37984, 6144
241, 37984, 6144
240, 37984, 6144
239, 37984, 6144
238, 37984, 6144
237, 37984, 6144
236, 37984, 6144
235, 37984, 6144
234, 37984, 6144
233, 37984, 6144
232, 37984, 6144
230, 37984, 6144
229, 37984, 6144
227, 37984, 6144
225, 37984, 6144
224, 37984, 6144
223, 37984, 6144
221, 37984, 6144
220, 37984, 6144
218, 37984, 6144
217, 37984, 6144
216, 37984, 6144
214, 37984, 6144
213, 37984, 6144
212, 37984, 6144
211, 37984, 6144
210, 37984, 6144
209, 37984, 6144
207, 37984, 6144
204, 37984, 6144
203, 37984, 6144
202, 37984, 6144
199, 37984, 6144
198, 37984, 6144
197, 37984, 6144
196, 37984, 6144
195, 37984, 6144
194, 37984, 6144
193, 37984, 6144
192, 37984, 6144
191, 37984, 6144
190, 37984, 6144
189, 37984, 6144
188, 37984, 6144
187, 37984, 6144
186, 37984, 6144
185, 37984, 6144
184, 37984, 6144
183, 37984, 6144
182, 37984, 6144
180, 37984, 6144
179, 37984, 6144
177, 37984, 6144
176, 37984, 6144
173, 37984, 6144
172, 37984, 6144
170, 37984, 6144
169, 37984, 6144
167, 37984, 6144
166, 37984, 6144
165, 37984, 6144
163, 37984, 6144
162, 37984, 6144
161, 37984, 6144
160, 37984, 6144
158, 37984, 6144
156, 37984, 6144
155, 37984, 6144
154, 37984, 6144
153, 37984, 6144
152, 37984, 6144
151, 37984, 6144
150, 37984, 6144
148, 37984, 6144
147, 37984, 6144
146, 37984, 6144
144, 37984, 6144
142, 37984, 6144
141, 37984, 6144
140, 37984, 6144
139, 37984, 6144
138, 37984, 6144
136, 37984, 6144
135, 37984, 6144
133, 37984, 6144
132, 37984, 6144
131, 37984, 6144
130, 37984, 6144
129, 37984, 6144
128, 37984, 6144
127, 37984, 6144
126, 37984, 6144
125, 37984, 6144
124, 37984, 6144
121, 37984, 6144
120, 37984, 6144
119, 37984, 6144
118, 37984, 6144
116, 37984, 6144
114, 37984, 6144
113, 37984, 6144
112, 37984, 6144
111, 37984, 6144
110, 37984, 6144
109, 37984, 6144
108, 37984, 6144
107, 37984, 6144
104, 37984, 6144
102, 37984, 6144
87, 37984, 6144
83, 37984, 6144
73728, 160, 6144
2048, 37984, 6144
512, 160, 6144
496, 160, 6144
480, 160, 6144
464, 160, 6144
448, 160, 6144
432, 160, 6144
416, 160, 6144
400, 160, 6144
384, 160, 6144
368, 160, 6144
352, 160, 6144
336, 160, 6144
320, 160, 6144
304, 160, 6144
288, 160, 6144
272, 160, 6144
256, 3584, 6144
256, 6144, 3072
256, 160, 6144
248, 3584, 6144
248, 6144, 3072
248, 160, 6144
240, 3584, 6144
240, 6144, 3072
240, 160, 6144
232, 3584, 6144
232, 6144, 3072
232, 160, 6144
224, 3584, 6144
224, 6144, 3072
224, 160, 6144
216, 3584, 6144
216, 6144, 3072
216, 160, 6144
208, 3584, 6144
208, 6144, 3072
208, 160, 6144
200, 3584, 6144
200, 6144, 3072
200, 160, 6144
192, 3584, 6144
192, 6144, 3072
192, 160, 6144
184, 3584, 6144
184, 6144, 3072
184, 160, 6144
176, 3584, 6144
176, 6144, 3072
176, 160, 6144
168, 3584, 6144
168, 6144, 3072
168, 160, 6144
160, 3584, 6144
160, 6144, 3072
160, 160, 6144
152, 3584, 6144
152, 6144, 3072
152, 160, 6144
144, 3584, 6144
144, 6144, 3072
144, 160, 6144
136, 3584, 6144
136, 6144, 3072
136, 160, 6144
128, 3584, 6144
128, 6144, 3072
128, 160, 6144
120, 3584, 6144
120, 6144, 3072
120, 160, 6144
112, 3584, 6144
112, 6144, 3072
112, 160, 6144
104, 3584, 6144
104, 6144, 3072
104, 160, 6144
96, 3584, 6144
96, 6144, 3072
96, 160, 6144
88, 3584, 6144
88, 6144, 3072
88, 160, 6144
80, 3584, 6144
80, 6144, 3072
80, 160, 6144
72, 3584, 6144
72, 6144, 3072
72, 160, 6144
64, 3584, 6144
64, 6144, 3072
64, 160, 6144
56, 3584, 6144
56, 6144, 3072
56, 160, 6144
48, 3584, 6144
48, 6144, 3072
48, 160, 6144
40, 3584, 6144
40, 6144, 3072
40, 160, 6144
32, 3584, 6144
32, 6144, 3072
32, 160, 6144
24, 3584, 6144
24, 6144, 3072
24, 160, 6144
16, 3584, 6144
16, 6144, 3072
16, 160, 6144
8, 3584, 6144
8, 6144, 3072
8, 160, 6144
4, 3584, 6144
4, 6144, 3072
4, 160, 6144
2, 3584, 6144
2, 6144, 3072
2, 160, 6144
1, 3584, 6144
1, 6144, 3072
1, 160, 6144
2048, 160, 6144
19762, 3584, 6144
19762, 6144, 3072
19762, 160, 6144
6, 37984, 6144
10, 37984, 6144
14, 37984, 6144
56867, 3584, 6144
56867, 6144, 3072
56867, 160, 6144
16, 37984, 6144
15, 37984, 6144
17807, 3584, 6144
17807, 6144, 3072
17807, 160, 6144
18320, 3584, 6144
18320, 6144, 3072
18320, 160, 6144
17154, 3584, 6144
17154, 6144, 3072
17154, 160, 6144
18662, 3584, 6144
18662, 6144, 3072
18662, 160, 6144
18867, 3584, 6144
18867, 6144, 3072
18867, 160, 6144
17269, 3584, 6144
17269, 6144, 3072
17269, 160, 6144
34602, 3584, 6144
34602, 6144, 3072
34602, 160, 6144
17823, 3584, 6144
17823, 6144, 3072
17823, 160, 6144
19547, 3584, 6144
19547, 6144, 3072
19547, 160, 6144
19482, 3584, 6144
19482, 6144, 3072
19482, 160, 6144
18166, 3584, 6144
18166, 6144, 3072
18166, 160, 6144
18387, 3584, 6144
18387, 6144, 3072
18387, 160, 6144
17121, 3584, 6144
17121, 6144, 3072
17121, 160, 6144
16030, 3584, 6144
16030, 6144, 3072
16030, 160, 6144
17663, 3584, 6144
17663, 6144, 3072
17663, 160, 6144
19777, 3584, 6144
19777, 6144, 3072
19777, 160, 6144
18411, 3584, 6144
18411, 6144, 3072
18411, 160, 6144
18988, 3584, 6144
18988, 6144, 3072
18988, 160, 6144
19874, 3584, 6144
19874, 6144, 3072
19874, 160, 6144
17030, 3584, 6144
17030, 6144, 3072
17030, 160, 6144
18960, 3584, 6144
18960, 6144, 3072
18960, 160, 6144
17858, 3584, 6144
17858, 6144, 3072
17858, 160, 6144
17907, 3584, 6144
17907, 6144, 3072
17907, 160, 6144
18419, 3584, 6144
18419, 6144, 3072
18419, 160, 6144
18149, 3584, 6144
18149, 6144, 3072
18149, 160, 6144
19460, 3584, 6144
19460, 6144, 3072
19460, 160, 6144
18771, 3584, 6144
18771, 6144, 3072
18771, 160, 6144
18127, 3584, 6144
18127, 6144, 3072
18127, 160, 6144
18448, 3584, 6144
18448, 6144, 3072
18448, 160, 6144
18344, 3584, 6144
18344, 6144, 3072
18344, 160, 6144
19501, 3584, 6144
19501, 6144, 3072
19501, 160, 6144
13, 37984, 6144
12, 37984, 6144
11, 37984, 6144
9, 37984, 6144
8, 37984, 6144
7, 37984, 6144
5, 37984, 6144
3265, 160, 6144
17, 37984, 6144
71536, 3584, 6144
71536, 6144, 3072
71536, 160, 6144
20, 37984, 6144
19, 37984, 6144
18871, 3584, 6144
18871, 6144, 3072
18871, 160, 6144
17275, 3584, 6144
17275, 6144, 3072
17275, 160, 6144
18, 37984, 6144
34605, 3584, 6144
34605, 6144, 3072
34605, 160, 6144
17827, 3584, 6144
17827, 6144, 3072
17827, 160, 6144
19550, 3584, 6144
19550, 6144, 3072
19550, 160, 6144
19487, 3584, 6144
19487, 6144, 3072
19487, 160, 6144
18167, 3584, 6144
18167, 6144, 3072
18167, 160, 6144
35496, 3584, 6144
35496, 6144, 3072
35496, 160, 6144
16034, 3584, 6144
16034, 6144, 3072
16034, 160, 6144
17667, 3584, 6144
17667, 6144, 3072
17667, 160, 6144
18170, 3584, 6144
18170, 6144, 3072
18170, 160, 6144
19245, 3584, 6144
19245, 6144, 3072
19245, 160, 6144
36824, 3584, 6144
36824, 6144, 3072
36824, 160, 6144
17705, 3584, 6144
17705, 6144, 3072
17705, 160, 6144
16967, 3584, 6144
16967, 6144, 3072
16967, 160, 6144
16594, 3584, 6144
16594, 6144, 3072
16594, 160, 6144
16311, 3584, 6144
16311, 6144, 3072
16311, 160, 6144
38175, 3584, 6144
38175, 6144, 3072
38175, 160, 6144
18992, 3584, 6144
18992, 6144, 3072
18992, 160, 6144
19878, 3584, 6144
19878, 6144, 3072
19878, 160, 6144
17034, 3584, 6144
17034, 6144, 3072
17034, 160, 6144
18963, 3584, 6144
18963, 6144, 3072
18963, 160, 6144
17862, 3584, 6144
17862, 6144, 3072
17862, 160, 6144
36314, 3584, 6144
36314, 6144, 3072
36314, 160, 6144
18153, 3584, 6144
18153, 6144, 3072
18153, 160, 6144
19464, 3584, 6144
19464, 6144, 3072
19464, 160, 6144
18774, 3584, 6144
18774, 6144, 3072
18774, 160, 6144
18131, 3584, 6144
18131, 6144, 3072
18131, 160, 6144
18452, 3584, 6144
18452, 6144, 3072
18452, 160, 6144
18348, 3584, 6144
18348, 6144, 3072
18348, 160, 6144
19505, 3584, 6144
19505, 6144, 3072
19505, 160, 6144
17810, 3584, 6144
17810, 6144, 3072
17810, 160, 6144
18325, 3584, 6144
18325, 6144, 3072
18325, 160, 6144
17158, 3584, 6144
17158, 6144, 3072
17158, 160, 6144
18667, 3584, 6144
18667, 6144, 3072
18667, 160, 6144
18396, 3584, 6144
18396, 6144, 3072
18396, 160, 6144
21, 37984, 6144
53391, 3584, 6144
53391, 6144, 3072
53391, 160, 6144
24, 37984, 6144
23, 37984, 6144
17831, 3584, 6144
17831, 6144, 3072
17831, 160, 6144
19555, 3584, 6144
19555, 6144, 3072
19555, 160, 6144
19491, 3584, 6144
19491, 6144, 3072
19491, 160, 6144
18174, 3584, 6144
18174, 6144, 3072
18174, 160, 6144
22, 37984, 6144
35500, 3584, 6144
35500, 6144, 3072
35500, 160, 6144
16038, 3584, 6144
16038, 6144, 3072
16038, 160, 6144
17669, 3584, 6144
17669, 6144, 3072
17669, 160, 6144
18173, 3584, 6144
18173, 6144, 3072
18173, 160, 6144
19249, 3584, 6144
19249, 6144, 3072
19249, 160, 6144
36827, 3584, 6144
36827, 6144, 3072
36827, 160, 6144
17709, 3584, 6144
17709, 6144, 3072
17709, 160, 6144
16971, 3584, 6144
16971, 6144, 3072
16971, 160, 6144
16598, 3584, 6144
16598, 6144, 3072
16598, 160, 6144
16315, 3584, 6144
16315, 6144, 3072
16315, 160, 6144
19963, 3584, 6144
19963, 6144, 3072
19963, 160, 6144
17503, 3584, 6144
17503, 6144, 3072
17503, 160, 6144
34324, 3584, 6144
34324, 6144, 3072
34324, 160, 6144
18791, 3584, 6144
18791, 6144, 3072
18791, 160, 6144
16403, 3584, 6144
16403, 6144, 3072
16403, 160, 6144
17798, 3584, 6144
17798, 6144, 3072
17798, 160, 6144
17119, 3584, 6144
17119, 6144, 3072
17119, 160, 6144
19785, 3584, 6144
19785, 6144, 3072
19785, 160, 6144
18995, 3584, 6144
18995, 6144, 3072
18995, 160, 6144
19881, 3584, 6144
19881, 6144, 3072
19881, 160, 6144
17038, 3584, 6144
17038, 6144, 3072
17038, 160, 6144
18968, 3584, 6144
18968, 6144, 3072
18968, 160, 6144
17866, 3584, 6144
17866, 6144, 3072
17866, 160, 6144
17915, 3584, 6144
17915, 6144, 3072
17915, 160, 6144
18427, 3584, 6144
18427, 6144, 3072
18427, 160, 6144
18157, 3584, 6144
18157, 6144, 3072
18157, 160, 6144
19469, 3584, 6144
19469, 6144, 3072
19469, 160, 6144
18779, 3584, 6144
18779, 6144, 3072
18779, 160, 6144
18135, 3584, 6144
18135, 6144, 3072
18135, 160, 6144
18456, 3584, 6144
18456, 6144, 3072
18456, 160, 6144
18352, 3584, 6144
18352, 6144, 3072
18352, 160, 6144
37300, 3584, 6144
37300, 6144, 3072
37300, 160, 6144
18329, 3584, 6144
18329, 6144, 3072
18329, 160, 6144
17162, 3584, 6144
17162, 6144, 3072
17162, 160, 6144
18671, 3584, 6144
18671, 6144, 3072
18671, 160, 6144
18874, 3584, 6144
18874, 6144, 3072
18874, 160, 6144
17279, 3584, 6144
17279, 6144, 3072
17279, 160, 6144
16567, 3584, 6144
16567, 6144, 3072
16567, 160, 6144
18067, 3584, 6144
18067, 6144, 3072
18067, 160, 6144
988, 160, 6144
43463, 3584, 6144
43463, 6144, 3072
43463, 160, 6144
49, 37984, 6144
131, 37984, 6144
213, 37984, 6144
38647, 3584, 6144
38647, 6144, 3072
38647, 160, 6144
256, 37984, 6144
255, 37984, 6144
1058, 160, 6144
254, 37984, 6144
2087, 160, 6144
1158, 160, 6144
1138, 160, 6144
1157, 160, 6144
1173, 160, 6144
1251, 160, 6144
253, 37984, 6144
2001, 160, 6144
1178, 160, 6144
1148, 160, 6144
2070, 160, 6144
1230, 160, 6144
2097, 160, 6144
1102, 160, 6144
1215, 160, 6144
